NORTH,10/01/2016 11:33:36,130
SOUTH,10/01/2016 11:33:36,130
WEST,10/01/2016 11:33:36,130
EAST,10/01/2016 11:33:36,130
NORTH,10/09/2016 18:00:36,130
SOUTH,10/09/2016 18:00:36,130
WEST,10/09/2016 18:00:36,130
EAST,10/09/2016 18:00:36,130
WEST,10/19/2016 18:00:36,114
EAST,10/19/2016 18:00:36,114
NORTH,10/22/2016 17:00:36,130
SOUTH,10/22/2016 17:00:36,130
WEST,10/22/2016 17:00:36,20
EAST,10/22/2016 17:00:36,60
NORTH,10/28/2016 15:00:36,100
SOUTH,10/28/2016 15:00:36,70
WEST,10/28/2016 15:00:36,80
EAST,10/28/2016 15:00:36,130
NORTH,11/01/2016 11:33:36,130
NORTH,11/01/2016 11:33:36,130
SOUTH,11/01/2016 11:33:36,130
WEST,11/01/2016 11:33:36,130
EAST,11/01/2016 11:33:36,130
NORTH,11/09/2016 18:00:36,130
SOUTH,11/09/2016 18:00:36,130
WEST,11/09/2016 18:00:36,130
EAST,11/09/2016 18:00:36,130
WEST,11/19/2016 18:00:36,114
EAST,11/19/2016 18:00:36,114
NORTH,11/22/2016 17:00:36,130
SOUTH,11/22/2016 17:00:36,130
WEST,11/22/2016 17:00:36,20
EAST,11/22/2016 17:00:36,60
NORTH,11/28/2016 15:00:36,100
SOUTH,11/28/2016 15:00:36,70
WEST,11/28/2016 15:00:36,80
EAST,11/28/2016 15:00:36,130
NORTH,12/01/2016 11:33:36,130
NORTH,12/01/2016 11:35:49,130
NORTH,12/01/2016 11:36:09,130
NORTH,12/01/2016 11:37:14,130
NORTH,12/01/2016 11:37:33,130
NORTH,12/01/2016 11:39:06,130
NORTH,12/02/2016 12:18:59,227
WEST,12/02/2016 12:19:25,331
SOUTH,12/02/2016 12:19:38,533
NORTH,12/02/2016 12:20:04,163
NORTH,12/02/2016 13:05:39,60
WEST,12/02/2016 13:07:48,100
SOUTH,12/02/2016 13:07:48,100
NORTH,12/02/2016 13:07:48,100
EAST,12/02/2016 13:07:48,100
NORTH,12/02/2016 19:47:03,427936
NORTH,12/06/2016 00:48:13,1200
EAST,12/06/2016 00:48:13,1200
WEST,12/06/2016 00:48:13,1200
SOUTH,12/06/2016 00:48:13,1200
NORTH,12/06/2016 00:51:05,1200
SOUTH,12/06/2016 00:51:05,1200
EAST,12/06/2016 00:51:05,1200
WEST,12/06/2016 00:51:05,1200
NORTH,12/07/2016 21:48:45,37
NORTH,12/07/2016 23:22:41,56
NORTH,12/07/2016 23:42:36,600
NORTH,12/07/2016 23:42:36,1200
EAST,12/07/2016 23:43:21,73
SOUTH,12/07/2016 23:54:21,600
SOUTH,12/07/2016 23:54:21,1200
NORTH,12/08/2016 00:30:35,600
NORTH,12/08/2016 00:30:35,1200
NORTH,12/08/2016 00:33:50,50
EAST,12/08/2016 00:33:50,50
WEST,12/08/2016 00:33:50,50
SOUTH,12/08/2016 00:33:50,50
WEST,12/08/2016 00:33:50,100
SOUTH,12/08/2016 00:33:50,100
NORTH,12/08/2016 00:33:50,100
EAST,12/08/2016 00:33:50,100
NORTH,12/08/2016 00:38:22,600
SOUTH,12/08/2016 00:38:22,600
WEST,12/08/2016 00:38:22,600
EAST,12/08/2016 00:38:22,600
SOUTH,12/08/2016 00:38:22,1200
WEST,12/08/2016 00:38:22,1200
EAST,12/08/2016 00:38:22,1200
NORTH,12/08/2016 00:38:22,1200
NORTH,12/08/2016 00:39:14,146
SOUTH,12/08/2016 00:39:14,146
EAST,12/08/2016 00:39:14,146
WEST,12/08/2016 00:39:14,146
NORTH,12/08/2016 00:45:52,32
NORTH,12/08/2016 00:46:23,164
SOUTH,12/08/2016 01:01:35,59
SOUTH,12/08/2016 01:05:07,65
SOUTH,12/08/2016 01:05:38,236
NORTH,12/08/2016 01:09:45,85
